Date,Time_st,Transect,Bearing,Secchi,Depth_st,Taxon_name,Family,Common_family,Consumer_group,Lw_a,Lw_b,Length_conversion_factor,Number,Size_TL_cm,Length_conv,Biomass_g,num_m^2,g_m^2
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,2,2,0.17,6.67E-03,1.16E-03
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,3,3,0.58,6.67E-03,3.91E-03
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,7,7,10.15,6.67E-03,0.06
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Rhinecanthus rectangulus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,18,18,107.85,6.67E-03,0.71
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Rhinecanthus rectangulus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,20,20,142.45,6.67E-03,0.94
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Balistapus undulatus,Balistidae,Triggerfish,SECONDARY,5.80E-03,3.55,1,1,22,22,342.29,6.67E-03,2.28
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,2,16,14.56,175.63,0.01,1.17
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chaetodon citrinellus,Chaetodontidae,Butterflyfish,SECONDARY,0.03,2.83,1,1,4,4,1.79,6.67E-03,0.01
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,5,5,2.24,6.67E-03,0.01
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,8,8,8.12,6.67E-03,0.05
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,7,7,5.63,6.67E-03,0.03
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,5,5,4.49,0.01,0.02
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Rhinecanthus aculeatus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,20,20,142.45,6.67E-03,0.94
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,16,14.56,84.62,6.67E-03,0.56
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,16,14.56,87.81,6.67E-03,0.58
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Caranx melampygus,Carangidae,Jack,PISCIVORE,0.02,2.97,0.89,1,29,25.81,452.82,6.67E-03,3.01
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,4,4,1.21,6.67E-03,8.13E-03
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Abudefduf septemfasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3.15,0.93,1,17,15.81,177.21,6.67E-03,1.18
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,4,3,3,3,0.02,0.02
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,1,4,4,1.75,6.67E-03,0.01
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,4,2,2,0.9,0.02,6.06E-03
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Dascyllus aruanus,Pomacentridae,Damselfish,PLANKTIVORE,0.04,2.98,0.96,12,3,2.88,11.75,0.08,0.07
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Dascyllus aruanus,Pomacentridae,Damselfish,PLANKTIVORE,0.04,2.98,0.96,1,6,5.76,7.77,6.67E-03,0.05
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,5,5,3.7,6.67E-03,0.02
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,6,6,12.78,0.01,0.08
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,10,10,29.6,6.67E-03,0.19
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,1,5,4.3,1.92,6.67E-03,0.01
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,10,10,29.92,0.01,0.19
9/27/2023, 12:43:00,AIElee01E,90,10.9,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,10,9.3,13.64,6.67E-03,0.09
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,3,4,4,3.65,0.02,0.02
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,1,16,15.52,93.61,6.67E-03,0.62
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,1,18,17.46,138.38,6.67E-03,0.92
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,12,10.92,36.74,6.67E-03,0.24
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,15,13.65,72.22,6.67E-03,0.48
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,17,15.47,101.89,6.67E-03,0.67
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chaetodon lunulatus,Chaetodontidae,Butterflyfish,SECONDARY,0.02,2.98,1,1,12,12,49.83,6.67E-03,0.33
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chaetodon ephippium,Chaetodontidae,Butterflyfish,SECONDARY,0.02,3.06,1,1,20,20,215.94,6.67E-03,1.43
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Halichoeres hortulanus,Labridae,Wrasse,SECONDARY,0.01,3.06,1,1,10,10,13.78,6.67E-03,0.09
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Coris aygula,Labridae,Wrasse,SECONDARY,2.66E-03,3.48,1,1,13,13,20.46,6.67E-03,0.13
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Stethojulis bandanensis,Labridae,Wrasse,PLANKTIVORE,0.03,2.58,1,1,5,5,1.93,6.67E-03,0.01
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,20,18.6,107.47,6.67E-03,0.71
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,12,11.16,23.48,6.67E-03,0.15
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Apogon angustatus,Apogonidae,Cardinalfish,PLANKTIVORE,4.93E-03,3.78,0.94,1,7,6.58,6.1,6.67E-03,0.04
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,16,14.88,55.3,6.67E-03,0.36
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,1,2,1.72,0.12,6.67E-03,8.41E-04
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,8,10,10,119.7,0.05,0.79
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,7,7,5.63,6.67E-03,0.03
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,3,3,0.58,6.67E-03,3.91E-03
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,4,4,1.38,6.67E-03,9.26E-03
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,5,5,2.71,6.67E-03,0.01
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Abudefduf septemfasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3.15,0.93,1,18,16.74,212.19,6.67E-03,1.41
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,2,2,2,0.45,0.01,3.03E-03
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,11,4,4,19.32,0.07,0.12
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,3,3,3,2.25,0.02,0.01
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,4,5,5,14.8,0.02,0.09
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,5,4.7,8.1,0.01,0.05
9/27/2023, 13:20:00,AIElee02D,90,11.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,10,9.3,13.64,6.67E-03,0.09
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Stethojulis bandanensis,Labridae,Wrasse,PLANKTIVORE,0.03,2.58,1,1,7,7,4.6,6.67E-03,0.03
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,7,7,14.88,0.01,0.09
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,6,6,4.68,6.67E-03,0.03
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,5,4,4,6.94,0.03,0.04
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,3,3,1.17,0.01,7.81E-03
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,2,2,0.17,6.67E-03,1.16E-03
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,5,5,5,13.56,0.03,0.09
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,4,3.76,4.13,0.01,0.02
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,6,10,10,89.77,0.04,0.59
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,4,4,2.43,0.01,0.01
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,4,5,5,8.98,0.02,0.05
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,14,14,37.56,6.67E-03,0.25
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Rhinecanthus aculeatus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,18,18,107.85,6.67E-03,0.71
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,2,3,2.73,1.1,0.01,7.36E-03
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,2,4,3.64,2.63,0.01,0.01
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,4,5,4.7,16.2,0.02,0.1
9/27/2023, 13:54:00,AIElee03B,90,8.5,0.6,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,2,5,4.55,5.18,0.01,0.03
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Scarus oviceps,Scaridae,Parrotfish,PRIMARY,0.01,3,1,1,30,30,486,6.67E-03,3.24
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,10,9.4,32.62,6.67E-03,0.21
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,14,10,9.4,456.75,0.09,3.04
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,6,4,4,10.54,0.04,0.07
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Balistapus undulatus,Balistidae,Triggerfish,SECONDARY,5.80E-03,3.55,1,1,16,16,110.37,6.67E-03,0.73
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chaetodon bennetti,Chaetodontidae,Butterflyfish,SECONDARY,0.03,2.88,1,1,15,15,94.91,6.67E-03,0.63
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,6,6,12.78,0.01,0.08
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,17,15.81,66.24,6.67E-03,0.44
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,12,11.16,23.48,6.67E-03,0.15
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,5,4.65,1.73,6.67E-03,0.01
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,14,5,5,40.49,0.09,0.26
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,2,32,32,1432.42,0.01,9.54
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,4,25,25,1376.45,0.02,9.17
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,30,30,591.31,6.67E-03,3.94
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,6,3,3,4.51,0.04,0.03
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chaetodon ulietensis,Chaetodontidae,Butterflyfish,SECONDARY,0.03,2.87,1,2,14,14,122.59,0.01,0.81
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,3,10,9.3,40.93,0.02,0.27
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Stethojulis bandanensis,Labridae,Wrasse,PLANKTIVORE,0.03,2.58,1,1,4,4,1.08,6.67E-03,7.24E-03
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chaetodon auriga,Chaetodontidae,Butterflyfish,SECONDARY,0.04,2.82,1,1,18,18,143.9,6.67E-03,0.95
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,1,2,2,0.22,6.67E-03,1.52E-03
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,7,5,5,15.72,0.04,0.1
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,20,18.2,167.63,6.67E-03,1.11
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,5,4.7,4.05,6.67E-03,0.02
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,17,15.47,101.89,6.67E-03,0.67
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,18,16.38,125.45,6.67E-03,0.83
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,15,13.65,72.22,6.67E-03,0.48
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,3,10,10,44.88,0.02,0.29
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,16,14.56,87.81,6.67E-03,0.58
9/27/2023, 15:45:00,REIlee01E,180,8.7,0.5,Crenimugil crenilabrus,Mugilidae,Mullet,PRIMARY,0.03,2.73,1,6,32,32,2992.55,0.04,19.95
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Epibulus insidiator,Labridae,Wrasse,SECONDARY,0.01,3.08,0.93,1,22,20.46,176.53,6.67E-03,1.17
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,7,6.58,11.15,6.67E-03,0.07
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,5,5,5,11.23,0.03,0.07
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,8,8,16.25,0.01,0.1
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,4,5,4.7,16.2,0.02,0.1
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,4,4,3.76,8.27,0.02,0.05
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,4,4,1.89,6.67E-03,0.01
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,5,5,5,18.5,0.03,0.12
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,3,3,3,2.25,0.02,0.01
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,6,6,4.68,6.67E-03,0.03
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,7,6.51,4.71,6.67E-03,0.03
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,8,7.44,7.02,6.67E-03,0.04
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,3,8,8,33.33,0.02,0.22
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,22,20.02,224.47,6.67E-03,1.49
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,30,30,591.31,6.67E-03,3.94
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,12,12,38.92,6.67E-03,0.25
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,60,60,6393.6,6.67E-03,42.62
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,27,25.92,337.34,6.67E-03,2.24
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,12,11.16,23.48,6.67E-03,0.15
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,3,7,7,23.56,0.02,0.15
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,12,5,5,34.7,0.08,0.23
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,2,25,24.25,823.38,0.01,5.48
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,4,12,11.64,144.13,0.02,0.96
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,2,20,18.2,335.27,0.01,2.23
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,26,26,386.61,6.67E-03,2.57
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,6,8,8,70.06,0.04,0.46
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Parupeneus multifasciatus,Mullidae,Goatfish,SECONDARY,0.01,3.21,0.9,1,10,9,13.16,6.67E-03,0.08
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Zebrasoma veliferum,Acanthuridae,Surgeonfish,PRIMARY,0.03,2.86,1,1,10,10,25.14,6.67E-03,0.16
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Rhinecanthus aculeatus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,20,20,142.45,6.67E-03,0.94
